Date Time,VALUE,QUALITY,COMMENT
2018/04/02 00:00:00,0.410,2,
2018/04/03 00:00:00,0.402,2,
2018/04/04 00:00:00,0.396,2,
2018/04/05 00:00:00,0.393,2,
2018/04/06 00:00:00,0.392,2,
2018/04/07 00:00:00,0.388,2,
2018/04/08 00:00:00,0.383,2,
2018/04/09 00:00:00,0.375,2,
2018/04/10 00:00:00,0.369,2,
2018/04/11 00:00:00,0.368,2,
2018/04/12 00:00:00,0.369,2,
2018/04/13 00:00:00,0.365,2,
2018/04/14 00:00:00,0.365,2,
2018/04/15 00:00:00,0.398,2,
2018/04/16 00:00:00,0.527,2,
2018/04/17 00:00:00,0.525,2,
2018/04/18 00:00:00,0.485,2,
2018/04/19 00:00:00,0.436,2,
2018/04/20 00:00:00,0.411,2,
2018/04/21 00:00:00,0.399,2,
2018/04/22 00:00:00,0.391,2,
2018/04/23 00:00:00,0.388,2,
2018/04/24 00:00:00,0.462,2,
2018/04/25 00:00:00,0.459,2,
2018/04/26 00:00:00,0.430,2,
2018/04/27 00:00:00,0.414,2,
2018/04/28 00:00:00,0.405,2,
2018/04/29 00:00:00,0.454,2,
